"","genename","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"MPV17L","MPV17L",282.138463750565,1.49112037492454,0.182863152373427,8.15429656314523,3.5121807321905e-16,8.71740071360846e-15
"KCNH8","KCNH8",15.2087352762638,-2.19617731900134,0.269716659710196,-8.14253491557057,3.87086823850619e-16,9.59492107194131e-15
"FAM95B1","FAM95B1",19.195152482618,-1.48294974456035,0.182236545053461,-8.13749922731093,4.03525966604924e-16,9.97591015454425e-15
"DNMT3B","DNMT3B",181.49599895267,1.08254091686764,0.133091447895223,8.13381275797579,4.15994921171294e-16,1.02569949850227e-14
"ATP13A4","ATP13A4",127.192788996624,2.21959583858651,0.27294177694526,8.13212203506558,4.21839822187443e-16,1.03873882336789e-14
"ITGA7","ITGA7",273.538885288017,-1.29269789252426,0.159047213175919,-8.12776198155971,4.37288793251028e-16,1.07394675342506e-14
"SERPINB5","SERPINB5",613.241655028608,-2.28920737565955,0.281684837754002,-8.12683917924874,4.40629357534799e-16,1.08072890386163e-14
"FAT2","FAT2",268.310785730832,-1.97708455741776,0.243405606664023,-8.12259250932856,4.5632942869826e-16,1.11630259327038e-14
"SPATA18","SPATA18",249.036667606698,-1.32935312105159,0.163705268788239,-8.1204052312524,4.6462966450053e-16,1.13511946176733e-14
"TBC1D9","TBC1D9",9334.04209917358,-1.36037494091415,0.167580628803382,-8.1177338373055,4.74969042456045e-16,1.15734950097155e-14
"SNX32","SNX32",6.22041183449314,-2.45661005261704,0.302746531709234,-8.11441187698373,4.88143114067052e-16,1.18789976845652e-14
"NXPH4","NXPH4",153.73313464389,1.83025480266673,0.225688436458564,8.10965254306578,5.0764713491487e-16,1.22895379678159e-14
"NEFL","NEFL",16.3879236967508,-2.23861077306413,0.276211572711404,-8.10469579927091,5.287765006586e-16,1.27679345210773e-14
"ZMYND10","ZMYND10",289.700083943058,-1.54088859016686,0.190261391419782,-8.09879807284245,5.55048243322783e-16,1.3384981216563e-14
"EFHA2","EFHA2",30.4704191139272,-1.15926350897517,0.14317216875188,-8.0969892338796,5.63360558884865e-16,1.35679030084981e-14
"C20orf132","C20orf132",23.2873456954045,-1.01592919482464,0.125536770563949,-8.09268224967695,5.83649784972859e-16,1.40384320058227e-14
"MYC","MYC",2201.51260010926,-1.06270918754873,0.131328914610085,-8.0919665764688,5.87090218833995e-16,1.41030102117587e-14
"PTCH2","PTCH2",35.2549912243481,-1.27915030981398,0.158138456274193,-8.08879977679866,6.02555282342169e-16,1.44559053276563e-14
"HIST1H3A","HIST1H3A",0.931565458461121,1.94536375624474,0.240605019094033,8.08529998073088,6.20113722216928e-16,1.48390033656141e-14
"EPHB1","EPHB1",77.5896989470689,-1.57041298777984,0.19435612644264,-8.08007967911069,6.47244690729352e-16,1.54486216783419e-14
"GDAP1","GDAP1",628.945262021577,-1.43703510371917,0.177929536900797,-8.07642805545196,6.6691479391616e-16,1.58977836889465e-14
"MLC1","MLC1",24.7283962975028,-2.27479176596099,0.281663837448461,-8.07626490701786,6.67807233926513e-16,1.58987525781102e-14
"MT1M","MT1M",39.2931846790975,-1.6099493568419,0.199372370745328,-8.07508759023788,6.74282263976969e-16,1.60324566332868e-14
"C21orf88","C21orf88",25.1527261847844,-2.05887361220518,0.254999209288447,-8.07403920173041,6.80100256034393e-16,1.61502179120635e-14
"GAL3ST2","GAL3ST2",16.2567315232041,2.40546139839579,0.29838177227334,8.06169016313839,7.52467241258312e-16,1.78007617973212e-14
"SOX5","SOX5",29.2550783407518,-1.57592428304332,0.195532166987313,-8.05966766146244,7.65021486578946e-16,1.80748430974633e-14
"HTR7P1","HTR7P1",241.380046735085,-1.32863389700761,0.165055883434142,-8.04960034967638,8.30648277626972e-16,1.95511350591519e-14
"SYCE1","SYCE1",17.3531755202803,-3.14273196916777,0.390887605595759,-8.039988795188,8.98466871908135e-16,2.10676936735746e-14
"DCDC2","DCDC2",181.017875213417,-1.97374412463241,0.245756498725693,-8.03129982265678,9.6445335907807e-16,2.25582981794388e-14
"CHGA","CHGA",201.258216588185,-4.84720925766359,0.60410572923088,-8.02377634099719,1.02542932897627e-15,2.39245480316775e-14
"PTGS2","PTGS2",100.805434625211,-1.87160134056481,0.233419447715065,-8.0181893963243,1.07315249269316e-15,2.5006730681795e-14
"C1orf113","C1orf113",260.671871033424,-1.09054028927156,0.13603504904315,-8.01661260787023,1.08701270536319e-15,2.52981198822993e-14
"ANGPTL7","ANGPTL7",7.80619343083137,-3.18951828962807,0.397945479983973,-8.01496297873903,1.10170195243362e-15,2.55762026643949e-14
"MYO3B","MYO3B",49.933776533292,-2.42196061351407,0.302299548428505,-8.01179037846586,1.13050439468994e-15,2.61797326636325e-14
"NBPF6","NBPF6",45.1515936564104,-3.03936534624538,0.379466911969183,-8.00956618450098,1.15113775886434e-15,2.65915671648552e-14
"TMEM84","TMEM84",130.602900178861,-1.73091497406279,0.216102019288051,-8.00971217097042,1.14977217253327e-15,2.65915671648552e-14
"CCBP2","CCBP2",121.300717561858,1.73679063094613,0.216853525088322,8.00904956577835,1.15598315628125e-15,2.66704890135841e-14
"RNF148","RNF148",3.90746694039019,1.26981622207341,0.158608844182261,8.00596100816571,1.1853728441399e-15,2.73147952294708e-14
"NAV3","NAV3",206.130136372994,-1.67527322185843,0.209359129133432,-8.00191149434291,1.22502428172177e-15,2.8158963323075e-14
"ASTL","ASTL",4.62826654836739,-1.95498245062752,0.244391875370259,-7.99937578802764,1.25051526544534e-15,2.87095540338713e-14
"SPAG8","SPAG8",20.1435851802273,-1.24047336880501,0.155100342594384,-7.99787639443887,1.2658334709028e-15,2.89899162385286e-14
"ABCA12","ABCA12",549.687764897436,2.15084592002062,0.269039393981075,7.99453897138913,1.30059615673322e-15,2.97495432174332e-14
